PERIOD_BEGIN;PERIOD;VALOR;INSTR_TYPE;TYPE_OF_SECURITY;GK;DOMICILE;TAX_APPLICABILITY_333;TAX_PARTICULARITY_333;TAX_PECULIARITY_333;DELTA_SIX_CALC;DELTA_3RD_PARTY;NR_871M;DELTA_AT_ISSU_MIN_871M;DELTA_AT_ISSU_MAX_871M;NR_DELTA_AT_ISSU_E100_871M;NR_DELTA_AT_ISSU_G095_871M;NR_DELTA_AT_ISSU_G080_871M;NR_DELTA_AT_ISSU_G075_871M;NR_NON_871M;DELTA_AT_ISSU_MIN_NON_871M;DELTA_AT_ISSU_MAX_NON_871M;NR_DELTA_AT_ISSU_E100_NON_871M;NR_DELTA_AT_ISSU_G095_NON_871M;NR_DELTA_AT_ISSU_G080_NON_871M;NR_DELTA_AT_ISSU_G075_NON_871M;NR_XSD_297
20180605;d;60617969;4;Z;709030;333;34.0;;;0.07699;;;;;;;;;;;;;;;;
20180605;d;60617845;4;Z;709030;333;34.0;;;0.59004;;;;;;;;;;;;;;;;
20180605;d;60617850;4;Z;709030;333;34.0;;;-0.12936;;;;;;;;;;;;;;;;
20180605;d;60617915;4;Z;709030;333;34.0;;;0.82621;;;;;;;;;;;;;;;;
20180605;d;61450485;4;Z;709030;333;34.0;;;-0.87838;;;;;;;;;;;;;;;;
20180605;d;61450493;4;Z;709030;333;34.0;;;-0.59891;;;;;;;;;;;;;;;;
20180605;d;61450505;4;Z;709030;333;34.0;;;-0.36147;;;;;;;;;;;;;;;;
20180605;d;61450508;4;Z;709030;333;34.0;;;0.56111;;;;;;;;;;;;;;;;
20180605;d;61511994;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511997;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61512001;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617861;4;Z;709030;333;34.0;;;0.09062;;;;;;;;;;;;;;;;
20180605;d;61450477;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61450479;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675793;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617789;4;Z;709030;333;34.0;;;0.84729;;;;;;;;;;;;;;;;
20180605;d;60617840;4;Z;709030;333;34.0;;;-0.58432;;;;;;;;;;;;;;;;
20180605;d;60617851;4;Z;709030;333;34.0;;;0.89228;;;;;;;;;;;;;;;;
20180605;d;61450480;4;Z;709030;333;34.0;;;0.13538;;;;;;;;;;;;;;;;
20180605;d;61450482;4;Z;709030;333;34.0;;;0.19652;;;;;;;;;;;;;;;;
20180605;d;61450484;4;Z;709030;333;34.0;;;0.17719;;;;;;;;;;;;;;;;
20180605;d;61557263;4;Z;709030;333;34.0;;;-0.10129;;;;;;;;;;;;;;;;
20180605;d;3547253;12;6;361630;402;41.0;;;;;;;;;;;;1.0;;;;;;;
20180605;d;61512012;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61512024;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60782515;4;Z;709030;333;34.0;;;0.74565;;;;;;;;;;;;;;;;
20180605;d;60675799;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675800;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675801;4;Z;709030;333;34.0;;;0.14633;;;;;;;;;;;;;;;;
20180605;d;60675805;4;Z;709030;333;34.0;;;0.99268;;;;;;;;;;;;;;;;
20180605;d;60675828;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675831;4;Z;709030;333;34.0;;;0.05566;;;;;;;;;;;;;;;;
20180605;d;61557277;4;Z;709030;333;34.0;;;-0.14284;;;;;;;;;;;;;;;;
20180605;d;61450504;4;Z;709030;333;34.0;;;0.49142;;;;;;;;;;;;;;;;
20180605;d;61450509;4;Z;709030;333;34.0;;;-0.2955;;;;;;;;;;;;;;;;
20180605;d;60617860;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61512031;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;61512033;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617970;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675837;4;Z;709030;333;34.0;;;0.71884;;;;;;;;;;;;;;;;
20180605;d;60675847;4;Z;709030;333;34.0;;;0.34947;;;;;;;;;;;;;;;;
20180605;d;60675851;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675930;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675859;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675860;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675861;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675862;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675872;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60617979;4;Z;709030;333;34.0;;;0.2525;;;;;;;;;;;;;;;;
20180605;d;60440391;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60440392;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675876;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675883;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675892;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
